1997_553_345.txt_1,6 miesięcy do lat 8
1997_553_345.txt_2,od 6 miesięcy do lat 8
1997_553_345.txt_3,Żołnierz
2004_177_21.txt_1,co najmniej trzech osób
2004_177_21.txt_2,co najmniej trzech
2004_177_21.txt_3,trzech osób
1996_465_111.txt_1,tylko do wysokości sumy komandytowej
1996_465_111.txt_2,wobec jej wierzycieli tylko do wysokości sumy komandytowej
1996_465_111.txt_3,spółki wobec jej wierzycieli tylko do wysokości sumy komandytowej
1994_591_35.txt_1,nie później niż na dzień bilansowy w cenach sprzedaży netto możliwych do uzyskania
1994_591_35.txt_2,dzień bilansowy w cenach sprzedaży netto możliwych do uzyskania
1994_591_35.txt_3,później niż na dzień bilansowy w cenach sprzedaży netto możliwych do uzyskania
2001_1441_74.txt_1,1 000 000 złotych
2001_1441_74.txt_2,do wysokości 1 000 000 złotych
2001_1441_74.txt_3,pieniężnej do wysokości 1 000 000 złotych
2002_1689_31.txt_1,Sił Zbrojnych Rzeczypospolitej Polskiej
2002_1689_31.txt_2,zwrot zapłaconej kwoty akcyzy dokonywany przez wyznaczonego naczelnika urzędu celnego
2002_1689_31.txt_3,zwrot zapłaconej kwoty akcyzy dokonywany przez wyznaczonego naczelnika urzędu celnego
2001_1353_12.txt_1,podając stopień wojskowy oraz imię i nazwisko
2001_1353_12.txt_2,"osoby, której czynność ta dotyczy"
2001_1353_12.txt_3,żołnierza
1994_592_85.txt_1,sporządza jeden budżet
1994_592_85.txt_2,jeden budżet
1994_592_85.txt_3,sporządza jeden budżet. 2. Uchwała budżetowa
2001_1353_40.txt_1,Minister Obrony Narodowej
2001_1353_40.txt_2,"środków, form i metod ich wykonywania, zgromadzonych informacji oraz własnych obiektów"
2001_1353_40.txt_3,"Minister Obrony Narodowej określi, w drodze zarządzenia"
1997_735_44.txt_1,na mocy postanowienia prokuratora lub sądu
1997_735_44.txt_2,sądu
1997_735_44.txt_3,następuje na mocy postanowienia prokuratora lub sądu
1997_884_31.txt_1,"przedsiębiorstwu wodociągowo-kanalizacyjnemu, na warunkach uzgodnionych w umowie"
1997_884_31.txt_2,"odpłatnie gminie lub przedsiębiorstwu wodociągowo-kanalizacyjnemu, na warunkach uzgodnionych w umowie"
1997_884_31.txt_3,mogą je przekazywać odpłatnie gminie lub przedsiębiorstwu wodociągowo-kanalizacyjnemu
1997_348_56.txt_1,Prezes URE
1997_348_56.txt_2,Prezes
1997_348_56.txt_3,wymierza Prezes URE
1998_577_37.txt_1,dyrektor generalny urzędu wojewódzkiego
1998_577_37.txt_2,"dyrektor generalny urzędu wojewódzkiego, 3) komendant wojewódzki Policji"
1998_577_37.txt_3,komendant wojewódzki Policji
2000_1310_2.txt_1,"Minister właściwy do spraw finansów publicznych, zwany dalej """"Ministrem"
2000_1310_2.txt_2,"Minister właściwy do spraw finansów publicznych, zwany dalej """"Ministrem"""", w imieniu Skarbu Państwa"
2000_1310_2.txt_3,Minister właściwy do spraw finansów publicznych
2001_298_29.txt_1,ministra właściwego do spraw wewnętrznych
2001_298_29.txt_2,ministra właściwego
2001_298_29.txt_3,Szefa BOR przysługuje funkcjonariuszowi odwołanie do ministra właściwego do spraw wewnętrznych
2001_19_8.txt_1,datę i numer wydania decyzji o wpisie grupy do rejestru
2001_19_8.txt_2,"nazwę i adres grupy, 2) datę i numer wydania decyzji o wpisie grupy do rejestru"
2001_19_8.txt_3,datę i numer wydania decyzji o wpisie grupy
1996_465_345.txt_1,świadczeń dokonywanych w ramach zwykłej działalności instytucji finansowych
1996_465_345.txt_2,Spółka
1996_465_345.txt_3,"Spółka nie może udzielać pożyczek, zabezpieczeń, zaliczkowych wypłat"
1997_468_13.txt_1,o ile przepisy ustawy nie stanowią inaczej
1997_468_13.txt_2,"readaptacji jest dobrowolne, o ile przepisy ustawy nie stanowią inaczej"
1997_468_13.txt_3,przepisy ustawy nie stanowią inaczej
1995_59_71.txt_1,obiektywne ustalanie i rzetelne dokumentowanie wyników kontroli
1995_59_71.txt_2,stałe podnoszenie kwalifikacji zawodowych
1995_59_71.txt_3,"godne zachowanie się w służbie i poza służbą, 5) stałe podnoszenie kwalifikacji zawodowych"
1997_349_61.txt_1,administracji rządowej
1997_349_61.txt_2,administracji rządowej. 2. Budżet państwa jest uchwalany w formie ustawy budżetowej
1997_349_61.txt_3,"sądów i trybunałów, 3) administracji rządowej"
1997_553_209.txt_1,"na wniosek pokrzywdzonego, organu opieki społecznej lub właściwej instytucji"
1997_553_209.txt_2,organu opieki społecznej lub właściwej instytucji
1997_553_209.txt_3,"wniosek pokrzywdzonego, organu opieki społecznej lub właściwej instytucji"
1994_195_223.txt_1,jednego miesiąca od daty doręczenia wezwania Urzędu Patentowego
1994_195_223.txt_2,na wezwanie Urzędu Patentowego w określonym terminie
1994_195_223.txt_3,ciągu jednego miesiąca od daty doręczenia wezwania Urzędu Patentowego
1999_95_57.txt_1,strefami bezpieczeństwa
1999_95_57.txt_2,"szczególnej kontroli wejść i wyjść oraz kontroli przebywania, zwane dalej """"strefami bezpieczeństwa"
1999_95_57.txt_3,wokół stref bezpieczeństwa strefy administracyjne służące do kontroli osób lub pojazdów
2001_1354_7.txt_1,"przed upływem trzeciego tygodnia następującego po tygodniu, w którym odpoczynek został skrócony"
2001_1354_7.txt_2,przed upływem trzeciego tygodnia następującego po tygodniu
2001_1354_7.txt_3,"upływem trzeciego tygodnia następującego po tygodniu, w którym odpoczynek został skrócony"
1999_930_20.txt_1,sąd może także odstąpić od wymierzenia kary
1999_930_20.txt_2,sąd
1999_930_20.txt_3,odstąpić od wymierzenia kary
1997_555_408.txt_1,niezwłocznie przystępuje do narady
1997_555_408.txt_2,przystępuje do narady
1997_555_408.txt_3,sąd niezwłocznie przystępuje do narady
2002_110_6.txt_1,"szczególną starannością, by nie naruszyć wolności i praw człowieka i obywatela"
2002_110_6.txt_2,by nie naruszyć wolności i praw człowieka i obywatela
2002_110_6.txt_3,wolności i praw człowieka i obywatela
1997_44_17.txt_1,do kompetencji przewodniczącego zarządu jednostki samorządu terytorialnego
1997_44_17.txt_2,"postanowienia, na które nie przysługuje zażalenie"
1997_44_17.txt_3,przewodniczącego zarządu jednostki samorządu terytorialnego
1997_153_112.txt_1,komisji rewizyjnej
1997_153_112.txt_2,przewodniczącego komisji rewizyjnej
1997_153_112.txt_3,przedstawiciel branżowych kas - oraz przewodniczącego komisji rewizyjnej
1996_465_302.txt_1,o równej wartości nominalnej
1996_465_302.txt_2,równej wartości nominalnej
1996_465_302.txt_3,zakładowy spółki akcyjnej dzieli się na akcje o równej wartości nominalnej
